привет	10000100
и	10000100
я	10000096
спасибо	10000094
да	10000092
в	10000092
нет	10000088
на	10000086
ты	10000084
не	10000084
что	10000080
с	10000080
есть	10000078
а	10000078
пожалуйста	10000076
вы	10000076
это	10000076
очень	10000072
мы	10000072
как	10000072
он	10000070
хорошо	10000068
пока	10000066
она	10000066
день	10000064
но	10000064
всё	10000062
добрый	10000060
сегодня	10000060
работа	10000058
жизнь	10000056
время	10000056
или	10000056
утро	10000054
мир	10000054
доброе	10000052
любовь	10000052
отлично	10000052
вечер	10000050
сейчас	10000050
был	10000050
завтра	10000048
супер	10000048
хочу	10000048
друг	10000046
класс	10000046
могу	10000046
когда	10000046
ночь	10000044
семья	10000044
быстро	10000044
команда	10000044
буду	10000044
где	10000044
еда	10000042
круто	10000042
вода	10000040
умный	10000040
проект	10000040
знаю	10000040
почему	10000040
книга	10000038
клавиатура	10000038
кто	10000038
плохо	10000036
делаю	10000034
думаю	10000032
говорю	10000030
вижу	10000030
здравствуйте	9000000
мне	1077059
меня	1010408
так	995583
его	752429
все	722378
тебя	702607
если	631191
за	598915
бы	594884
тебе	588450
они	534808
чтобы	479027
же	469511
просто	450715
из	446361
для	427940
ну	427366
здесь	410266
по	397721
то	385315
только	383956
было	371183
вас	357146
может	357142
нас	351238
вот	340913
от	339856
быть	313741
будет	298842
вам	289733
их	287229
уже	278258
нам	269029
еще	268978
там	264211
нужно	255361
чем	253382
ничего	248396
этого	247989
была	237832
мой	234913
ладно	229994
знаешь	228414
до	221120
этом	220811
потому	218628
теперь	216086
больше	202968
её	201916
со	196362
раз	193840
ему	189816
надо	189178
этот	184623
ли	180914
ещё	179679
даже	178504
сказал	174338
себя	172907
должен	169695
тоже	167958
хочешь	166264
давай	165828
никогда	161918
эй	161851
того	161739
тогда	159343
него	155644
ни	155085
тут	154726
были	154615
конечно	154334
правда	154307
об	153646
моя	146670
тобой	139908
сказать	139229
один	135623
лучше	132478
можешь	131596
сюда	130931
мной	130107
значит	127095
сделать	126604
всегда	126030
дело	123228
можно	123056
ей	123047
должны	120950
порядке	120906
без	119843
том	117709
делать	112020
хотел	111407
чего	111052
эти	109769
много	109541
после	109028
этим	108025
всего	107074
во	106627
твой	105811
ним	105636
лет	102100
боже	101843
них	101466
сэр	101299
ведь	100777
мистер	99992
потом	99575
ней	99204
такой	99052
который	96989
всех	96974
через	96333
им	95992
возможно	95943
немного	95662
такое	95496
слишком	94429
себе	94381
зачем	93100
должна	91680
моей	90410
люди	90224
знаете	90164
этой	89526
думаешь	88899
свою	88160
точно	86897
человек	86853
твоя	86378
под	86143
сказала	85749
назад	85317
эту	84553
можем	83944
случилось	83486
мама	82770
мог	82624
вместе	82533
отец	82443
сделал	82144
мои	81329
кажется	81004
куда	80441
никто	80070
поэтому	78189
эта	78060
которые	77613
два	77008
тот	76641
сколько	76611
понимаю	76298
снова	76265
жизни	76144
нравится	75431
людей	74207
помочь	73512
видел	73501
люблю	72412
хочет	71846
место	71757
знать	71476
прости	71336
похоже	71157
парень	70820
домой	70755
всем	70745
деньги	69831
иди	69293
времени	68876
дома	68664
именно	68567
доктор	67918
думал	67701
говорил	67335
делаешь	67069
будем	67057
прямо	66757
стоит	66587
поговорить	66462
найти	66209
разве	66146
слушай	65986
своей	65823
лишь	65808
ага	65490
можете	65480
простите	65257
хотела	64824
сам	64565
тем	63890
будешь	62961
прошу	62593
три	61773
деле	61675
хотите	61597
говорить	61591
давайте	61413
совсем	61240
знал	61058
знает	60683
какой	60477
моего	60363
скажи	59989
дом	59974
дела	59642
вами	59524
свои	59099
говорит	58596
несколько	58492
должно	58386
про	58180
ваш	57938
происходит	57892
жаль	57474
туда	57308
действительно	57152
папа	56693
оно	55655
черт	55607
одна	55083
перед	54678
наш	54529
уверен	54464
отсюда	54249
нужна	54088
самом	53967
тех	53671
нужен	53454
свой	53410
мою	53267
кого	52950
верно	52791
работу	52788
каждый	52005
твоей	51719
будут	51653
хватит	51483
понял	51455
нее	51307
уж	51283
имя	51199
против	50836
пор	50034
чём	49969
раньше	49196
более	49014
надеюсь	48947
итак	48940
при	48916
ваша	48891
вообще	48657
пошли	48631
мать	48327
нельзя	48309
наверное	48158
нами	48110
твои	47716
могли	47497
дай	47298
ради	47155
всю	46925
ребята	46567
ко	46404
хотя	46068
понимаешь	45672
идти	45654
этих	45596
откуда	45596
такая	45222
ясно	45154
другой	45087
извините	45074
видеть	43923
над	43810
могут	43706
равно	43637
мисс	43522
скоро	43513
будто	43328
зовут	43158
виду	42951
наши	42884
думала	42823
послушай	42732
между	42378
своего	42110
вопрос	41857
этому	41856
почти	41718
года	41673
человека	41539
которая	41129
подожди	41101
руки	41048
нормально	41029
такие	41025
возьми	40938
минут	40938
извини	40699
вещи	40557
могла	40427
смотри	40426
хоть	40250
пару	40153
сын	40105
ваше	40075
дня	39982
пора	39964
неё	39900
жить	39785
видишь	39742
достаточно	39644
господи	39600
твою	39431
весь	39373
убить	39356
говоришь	39074
собой	38686
скажу	38603
готов	38243
слышал	38200
какая	37614
посмотри	37605
первый	37559
самое	37558
видела	37537
пусть	37504
месте	37488
нашли	37459
сказали	37445
смогу	37048
ваши	36984
отца	36934
детей	36917
знаем	36911
рад	36727
прав	36686
никаких	36401
имею	36205
миссис	36111
иногда	36085
смерти	36077
своих	36071
пойду	35987
брат	35930
вроде	35897
рядом	35793
произошло	35440
которую	35389
сделала	35372
говорила	35203
знала	35121
мое	35030
одного	35004
таким	34912
помощь	34858
такого	34827
кем	34757
насчет	34635
вчера	34622
случае	34622
увидеть	34406
нашей	34339
говорят	34188
правильно	33991
убил	33957
одно	33920
пойти	33908
друга	33663
сама	33642
долго	33607
работать	33587
дверь	33577
делает	33556
женщина	33537
важно	33534
кроме	33324
будь	33311
собираюсь	33276
вашей	33160
нужны	33154
здорово	33129
номер	33102
проблема	32987
проблемы	32933
денег	32919
чёрт	32881
хороший	32663
твоего	32521
одну	32351
дальше	32290
вернуться	32265
давно	32247
последний	32206
ночи	32162
узнать	31995
уверена	31958
машину	31911
права	31879
пять	31874
моих	31857
также	31756
тому	31700
вечером	31577
дети	31434
опять	31397
серьезно	31361
работает	31339
своим	31279
сначала	30957
две	30938
одной	30898
моим	30760
те	30751
жена	30704
думаете	30544
помнишь	30417
глаза	30370
ними	30238
чувак	30222
ночью	30220
чувствую	30161
взять	30141
сразу	30132
утром	30109
часть	30091
придется	29877
стать	29711
идея	29633
дорогая	29606
прекрасно	29598
слова	29524
сделали	29485
видели	29384
наша	29157
сердце	29016
помню	28916
парня	28852
момент	28780
стал	28724
скорее	28682
ох	28668
большой	28409
часов	28334
год	28330
друзья	28282
сильно	28217
говори	28147
смысле	28050
которой	27890
